name,s,f,w,tautorsion,shift,hiddentau,notes,h0info,h0ext,h1info,h1target,h2info,h2target,h3info,h3target,label,angle,Dr inf000,dr,XX
D h1 e0,42,9,23,0,0,,,,,,loc,,,,,\D h_1 e_0,,,D h1^3 d0,gen
c0 e0^2,42,11,25,1,0,,,,,,loc,,,,,c_0 e_0^2,,,,XX
d0^3,42,12,24,0,0,,,,h0 d0^3,,h1 d0^3,,h0 d0^2 e0,,,d_0^3,,,,XX
h0 d0^3,42,13,24,0,0,,,,h0^2 d0^3,,,,h0^2 d0^2 e0,,,,,,,XX
h0^2 d0^3,42,14,24,0,0,,,,,,,,,,,,,,,XX
P^2 j,42,15,22,0,0,,,,P^2 h0 j,,,,P h0 d0 i,,,P^2 j,,,P^3 h0 e0,gen
P^2 h0 j,42,16,22,0,0,,,t,P^3 h1 e0,,,t,P^2 h1 d0^2,,,,,,P^3 h0^2 e0,XX
P^3 h1 e0,42,17,23,0,0,,,,,,loc,,,,,,,,P^3 h1^3 d0,XX
P^5 h1^2,42,22,22,0,0,,,,,,P^5 h1^3,,,,,,,,,XX
h1^4 h5 c0,43,8,25,1,0,,,,,,h1^5 h5 c0,,,,,,,,,XX
